"talk_id","title","speaker_1","first occupation","second occupation","recorded_date","published_date","event","native_lang","url.x","num_speakers","num_lang","comments","duration_ted","languages","num_speaker","view_ted","view_yt","categories","duration_yt","dislike_count","like_count","average_rating"
1971,"The sore problem of prosthetic limbs","David Sengeh","biomechatronics engineer",NA,2014-03-17,2014-04-10,"TED2014","en","https://www.ted.com/talks/david_sengeh_the_sore_problem_of_prosthetic_limbs/",1,33,46,283,32,1,742510,46437,"Science & Technology",283,21,929,4.91157913208
1972,"Be passionate. Be courageous. Be your best.","Gabby Giffords and Mark Kelly","former u.s. representative and nasa astronaut; survivors",NA,2014-03-21,2014-04-11,"TED2014","en","https://www.ted.com/talks/gabby_giffords_and_mark_kelly_be_passionate_be_courageous_be_your_best/",1,23,80,1128,23,1,1048304,93812,"News & Politics",1129,292,963,4.06932258606
1973,"Should you live for your r¨¦sum¨¦ ... or your eulogy?","David Brooks","op-ed columnist","author",2014-03-19,2014-04-14,"TED2014","en","https://www.ted.com/talks/david_brooks_should_you_live_for_your_resume_or_your_eulogy/",1,32,200,301,31,1,2306549,143607,"People & Blogs",302,240,1723,4.51095247269
1974,"For parents, happiness is a very high bar","Jennifer Senior","writer",NA,2014-03-21,2014-04-15,"TED2014","en","https://www.ted.com/talks/jennifer_senior_for_parents_happiness_is_a_very_high_bar/",1,29,147,1091,29,1,1901605,160675,"Education",1092,161,1547,4.62295103073
1947,"How I help transgender teens become who they want to be","Norman Spack","endocrinologist",NA,2013-11-27,2014-04-16,"TEDxBeaconStreet","en","https://www.ted.com/talks/norman_spack_how_i_help_transgender_teens_become_who_they_want_to_be/",1,27,134,1013,27,1,1248568,95454,"Nonprofits & Activism",1013,225,2248,4.63606977463
1976,"The flower-shaped starshade that might help us detect Earth-like planets","Jeremy Kasdin","planet finder",NA,2014-03-19,2014-04-17,"TED2014","en","https://www.ted.com/talks/jeremy_kasdin_the_flower_shaped_starshade_that_might_help_us_detect_earth_like_planets/",1,29,182,398,28,1,1276015,131304,"Science & Technology",398,25,2575,4.96153831482
1977,"My life in typefaces","Matthew Carter","type designer",NA,2014-03-18,2014-04-18,"TED2014","en","https://www.ted.com/talks/matthew_carter_my_life_in_typefaces/",1,23,44,961,23,1,1112914,111468,"People & Blogs",962,44,1541,4.88895893097
1978,"Embrace the near win","Sarah Lewis","writer",NA,2014-03-20,2014-04-21,"TED2014","en","https://www.ted.com/talks/sarah_lewis_embrace_the_near_win/",1,25,94,701,24,1,2293317,174045,"People & Blogs",702,104,1734,4.77366685867
1979,"How synchronized hammer strikes could generate nuclear fusion","Michel Laberge","plasma physicist",NA,2014-03-20,2014-04-22,"TED2014","en","https://www.ted.com/talks/michel_laberge_how_synchronized_hammer_strikes_could_generate_nuclear_fusion/",1,21,163,770,19,1,1038727,138733,"Science & Technology",770,40,3283,4.95185089111
1981,"A shark-deterrent wetsuit (and it's not what you think)","Hamish Jolly","inventor","ocean swimmer",2013-10-14,2014-04-23,"TEDxPerth","en","https://www.ted.com/talks/hamish_jolly_a_shark_deterrent_wetsuit_and_it_s_not_what_you_think/",1,27,150,752,27,1,2572038,307827,"Science & Technology",752,84,2343,4.86155748367
1984,"The best computer interface? Maybe ... your hands","James Patten","interaction designer",NA,2013-08-20,2014-04-24,"TED Fellows Retreat 2013","en","https://www.ted.com/talks/james_patten_the_best_computer_interface_maybe_your_hands/",1,29,57,372,29,1,1033475,105194,"Science & Technology",372,66,2370,4.89162540436
1983,"Success, failure and the drive to keep creating","Elizabeth Gilbert","writer",NA,2014-03-19,2014-04-25,"TED2014","en","https://www.ted.com/talks/elizabeth_gilbert_success_failure_and_the_drive_to_keep_creating/",1,38,183,438,35,1,3643938,602287,"People & Blogs",438,151,8812,4.93261194229
1985,"Autism ¡ª what we know (and what we don't know yet)","Wendy Chung","geneticist",NA,2014-03-20,2014-04-28,"TED2014","en","https://www.ted.com/talks/wendy_chung_autism_what_we_know_and_what_we_don_t_know_yet/",1,33,238,935,32,1,2305547,632836,"Science & Technology",935,724,5626,4.54393720627
1986,"Are athletes really getting faster, better, stronger?","David Epstein","sports science reporter",NA,2014-03-20,2014-04-29,"TED2014","en","https://www.ted.com/talks/david_epstein_are_athletes_really_getting_faster_better_stronger/",1,28,125,893,27,1,2824676,1177800,"Sports",894,462,24034,4.92455911636
1987,"Get your next eye exam on a smartphone","Andrew Bastawrous","eye surgeon","inventor",2014-03-17,2014-04-30,"TED2014","en","https://www.ted.com/talks/andrew_bastawrous_get_your_next_eye_exam_on_a_smartphone/",1,33,69,393,33,1,1051614,83549,"Science & Technology",394,13,1872,4.97241401672
1988,"The emergent patterns of climate change","Gavin Schmidt","climate scientist",NA,2014-03-12,2014-05-01,"TED2014","en","https://www.ted.com/talks/gavin_schmidt_the_emergent_patterns_of_climate_change/",1,25,143,730,24,1,1150409,108589,"Science & Technology",730,97,1468,4.75207662582
1989,"What does the future hold? 11 characters offer quirky answers","Sarah Jones","polymorphic playwright",NA,2014-03-21,2014-05-02,"TED2014","en","https://www.ted.com/talks/sarah_jones_what_does_the_future_hold_11_characters_offer_quirky_answers/",1,21,84,1116,20,1,1506064,164612,"Entertainment",1116,350,2238,4.45904159546
1990,"Color blind or color brave?","Mellody Hobson","investment expert",NA,2014-03-20,2014-05-05,"TED2014","en","https://www.ted.com/talks/mellody_hobson_color_blind_or_color_brave/",1,27,350,854,26,1,2200326,575918,"Nonprofits & Activism",855,374,5579,4.74869823456
1992,"The military case for sharing knowledge","Stanley McChrystal","military leader",NA,2014-03-20,2014-05-07,"TED2014","en","https://www.ted.com/talks/stanley_mcchrystal_the_military_case_for_sharing_knowledge/",1,30,95,404,30,1,991694,76076,"News & Politics",405,193,1003,4.35451507568
1993,"Comics that ask ""what if?""","Randall Munroe","cartoonist",NA,2014-03-20,2014-05-08,"TED2014","en","https://www.ted.com/talks/randall_munroe_comics_that_ask_what_if/",1,27,117,569,26,1,2558702,445244,"Science & Technology",570,125,7247,4.93217563629
